author,study_ID,species,red_list,sample_year,location,pop_ID,population_level,country,lat,lon,MPA,MPA2,air_temp,sand_temp,temp,egg_diameter_mm,egg_volume_cm3,egg_mass_g,hatchling_length_mm,hatchling_mass_g,clutch_size,clutch_mass_g,clutch_freq,pred_freq,total_clutch,pred_clutch,adult_length_cm,adult_mass_kg,pred_mass_kg,pub_year,notes,title,orig_author,orig_title,link
Hirth,1,Caretta_caretta,Vulnerable,1972,Buritaca Beach,CC_6,between population,Colombia,11.265447,-74.196538,no,no,27.7,,27.7,43.3,42.50714579,38.4,45,,107,,3.5,2.993321932,374.5,374.5,87.9,,88.21494917,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Kaufmann (1975),"Studies on the Loggerhead Sea Turtle, Caretta caretta caretta (Linné) in Colombia, South America",https://www.jstor.org/stable/3891595?seq=1#metadata_info_tab_contents
Hirth,1,Caretta_caretta,Vulnerable,,Cape Kennedy,CC_14,between population,USA,28.704607,-80.656843,no,no,31,,31,42.1,39.07010182,,45.2,,112,,,3.11853127,,349.2755023,92.2,,97.01052607,1980,report,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Ehrhart (1979),,
Hirth,1,Caretta_caretta,Vulnerable,,Masirah Island,CC_11,between population,Oman,7.677225,168.751102,no,no,35,,35,42.1,39.07010182,,,,101,,,3.159116568,,319.0707733,93.6,,99.96391712,1980,report,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,FAO,,
Hirth,1,Caretta_caretta,Vulnerable,,Tongaland,CC_12,between population,South Africa,-27.486956,32.705047,no,no,28.5,,28.5,40.9,35.82351359,,44.7,21,114,,3.98,2.949441346,453.72,453.72,86.4,,85.24456017,1980,report,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Hughes (1974),,
Hirth,1,Caretta_caretta,Vulnerable,,Cape Romain,CC_14,between population,USA,33.007659,-79.358962,no,no,,29.4,29.4,41.5,37.42334003,34.9,45,21.2,118.4,,,3.133035998,,370.9514621,92.7,,98.06025036,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Caldwall (1959) & Caldwall et al (1959)a,,
Hirth,1,Caretta_caretta,Vulnerable,1955,Hutchinson Island,CC_14,between population,USA,27.388392,-80.249236,no,no,29,,29,,,,45.2,,120,,,3.063310804,,367.5972965,90.3,,93.07283654,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Worth & Smith (1976),"NATURAL HISTORY NOTES ON THE ATLANTIC LOGGERHEAD TURTLE, CARETTA CARETTA CARETTA",https://www.jstor.org/stable/24313643?seq=1#page_scan_tab_contents
Hirth,1,Chelonia_mydas,Endangered,,Heron Island,CM_3,between population,Australia,-23.44068,151.915651,yes,yes,29,,29,46,50.96496737,51.6,56,21,110,,4.5,4.5,495,495,102.4,,116.7192738,1980,report,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Bustard (1972),,
Hirth,1,Chelonia_mydas,Endangered,,Bonin Island,CM_11,between population,Japan,27.131176,142.12065,no,no,26.5,,26.5,46,50.96496737,,,,103.8,,,,,,,,,1980,report,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Fukada (1965),,
Hirth,1,Chelonia_mydas,Endangered,,Naranjo reach,CM_6,between population,Costa Rica,10.774017,-85.664839,no,no,28,,28,,,,51.2,,87,,,3.174661143,,276.1955194,82.9,,68.83019684,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Cornelius (1976),"Marine turtle nesting activity at Playa Naranjo, Costa Rica",http://www.sidalc.net/cgi-bin/wxis.exe/?IsisScript=oet.xis&method=post&formato=2&cantidad=1&expresion=mfn=001691
Hirth,1,Chelonia_mydas,Endangered,,Tortuguero,CM_6,between population,Costa Rica,10.542133,-83.497994,no,no,25,,25,45.7,49.97431566,,49.7,,110,,2.8,2.8,308,308,100.1,,110.2752063,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Carr et al (1978),"The ecology and migrations of sea turtles. 7, The West Caribbean green turtle colony. Bulletin of the AMNH",http://digitallibrary.amnh.org/handle/2246/1287
Hirth,1,Chelonia_mydas,Endangered,1970,Galapagos,CM_7,between population,Ecuador,-0.762664,-90.334797,no,no,29,,29,,,,46.2,,81,,,3.173727026,,,81.3,,65.55699666,,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Pritchard (1971),Galapagos Sea Turtles:Preliminary Findings,https://www.jstor.org/stable/1562836?seq=1#metadata_info_tab_contents
Hirth,1,Chelonia_mydas,Endangered,,Shell beach,CM_8,between population,Guyana,8.269029,-59.520264,no,no,27.7,,27.7,47,54.36154976,,,,120,,,3.185503581,,,103.9,,121.0407355,1980,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,Pritchard (1969),,
