year,ID,recruit,Count of Year,sum_n of eggs,mean_n of eggs,SD_ n of eggs,mean_length,SD_length,mean_width,SD_width,mass,energy
1993,1993G004,First time,3,347,115.6667,16.80278,92,0,88,0,89.9228,113578.9161
1993,1993G006,First time,1,84,84,,98.5,,85.5,,105.6424,82483.8
1993,1993G017,First time,4,305,76.25,5.188127,89.5,0.408248,77,0.816497,83.8768,74873.6875
1993,1993G018,First time,2,180,90,24.04163,93,0,85,0,92.3412,88375.5
1993,1993G022,First time,1,127,127,,100,,91,,109.27,124707.65
1993,1993G023,First time,4,399,99.75,9.776673,104,0,89,0.816497,118.9436,97949.5125
1993,1993G024,First time,2,209,104.5,19.09188,104.5,0,87.5,0,120.1528,102613.775
1993,1993G027,First time,4,284,71,9.899495,95,0,79,0,97.178,69718.45
1993,1993G028,First time,3,378,126,23.51595,106,0,92,0,123.7804,123725.7
1993,1993G029,First time,1,80,80,,106,,91,,123.7804,78556
1993,1993G030,First time,2,192,96,38.18377,105,0,100,0,121.362,94267.2
1993,1993G031,First time,4,435,108.75,19.46578,98.75,1.428869,92.75,1.428869,106.247,106787.0625
1993,1993G032,First time,2,170,85,4.242641,88,0,80,0,80.2492,83465.75
1993,1993G033,First time,5,494,98.8,10.54514,102.7667,1.109805,80,0.163299,115.9609873,97016.66
1993,1993G034,First time,2,144,72,43.84062,95.75,3.889087,80,2.828427,98.9918,70700.4
1993,1993G035,First time,2,192,96,41.01219,89,0,80,0,82.6676,94267.2
1993,1993G036,First time,3,270,90,12.12436,107,0,80,0,126.1988,88375.5
1993,1993G037,First time,2,102,102,,95,0,80,0,97.178,100158.9
1993,1993G038,First time,2,160,80,7.071068,102,0,80,0,114.1068,78556
1993,1993G039,First time,5,598,119.6,4.27785,110.5,0,80,1.414214,134.6632,117441.22
1993,1993G040,First time,4,314,78.5,19.46792,91,0.816497,80,0.957427,87.5044,77083.075
1993,1993G041,First time,3,250,83.33333,9.237604,94,0,80,0,94.7596,81829.16339
1993,1993G043,First time,5,525,105,11.59741,94.83333,1.241639,80,1.594261,96.77492527,103104.75
1993,1993G044,First time,2,206,103,7.071068,107,0,80,0,126.1988,101140.85
1993,1993G045,First time,1,71,71,,100,,80,,109.27,69718.45
1993,1993G046,First time,3,252,84,29.10326,105,1,80,1.5,121.362,82483.8
1993,1993G047,First time,3,181,90.5,17.67767,94,5.196152,80,1.732051,94.7596,88866.475
1993,1993G052,First time,1,94,94,,96,,80,,99.5964,92303.3
1993,1993G054,First time,1,101,101,,99,,80,,106.8516,99176.95
1993,1993G055,First time,1,118,118,,112.8,,80,,140.22552,115870.1
1993,1993G057,First time,1,78,78,,102.5,,80,,115.316,76592.1
1993,1993G058,First time,2,93,93,,93,0,80,0,92.3412,91321.35
1993,1993G065,First time,1,118,118,,102,,80,,114.1068,115870.1
1993,1993G066,First time,3,262,87.33333,17.09776,97,0,80,0,102.0148,85756.96339
1993,1993G067,First time,2,210,105,5.656854,102,0,80,0,114.1068,103104.75
1993,1993G068,First time,2,99,99,,97,0,80,0,102.0148,97213.05
1993,1993G070,First time,5,451,90.2,11.30044,92.26667,0.326599,80,0.540062,90.56771473,88571.89
1993,1993G072,First time,4,520,130,8.041559,108.5,1,80,0,129.8264,127653.5
1993,1993G073,First time,4,336,84,17.81385,101.5,1.290994,80,1.354006,112.8976,82483.8
1993,1993G074,First time,4,330,82.5,10.34408,100.25,0.957427,80,1.290994,109.8746,81010.875
1993,1993G076,First time,4,292,97.33333,4.725816,105,0,80,0.408248,121.362,95576.46339
1993,1993G077,First time,2,181,90.5,19.09188,99.75,0.353553,80,0.707107,108.6654,88866.475
1993,1993G079,First time,4,255,63.75,11.35415,91.16667,0.849837,80,2.357023,87.90747473,62599.3125
1993,1993G080,First time,2,197,98.5,0.707107,93,0,80,0,92.3412,96722.075
1993,1993G081,First time,2,183,91.5,21.92031,99.75,2.474874,80,1.414214,108.6654,89848.425
1993,1993G082,First time,4,461,115.25,25.25041,101.6667,0.471405,80,0.235702,113.3007473,113169.7375
1993,1993G083,First time,2,191,95.5,10.6066,100.5,0.707107,80,0.141421,110.4792,93776.225
1993,1993G084,First time,2,218,109,4.242641,102,1.414214,80,0.707107,114.1068,107032.55
1993,1993G085,First time,2,279,139.5,6.363961,98,0,80,0,104.4332,136982.025
1993,1993G086,First time,2,231,115.5,4.949747,107,1.414214,80,1.06066,126.1988,113415.225
1993,1993G087,First time,2,158,79,24.04163,94,1.414214,80,0.707107,94.7596,77574.05
1993,1993G088,First time,2,185,92.5,0.707107,95.5,0,80,0,98.3872,90830.375
1993,1993G089,First time,4,410,102.5,20.28957,107.8333,1.433721,80,0.849837,128.2140527,100649.875
1993,1993G091,First time,3,307,102.3333,13.31666,99.25,0.25,80,0.25,107.4562,100486.1839
1993,1993G092,First time,5,625,125,6.78233,94,0.707107,80,0,94.7596,122743.75
1993,1993G093,First time,2,179,89.5,2.12132,90,0,80,0,85.086,87884.525
1993,1993G095,First time,1,86,86,,105,,80,,121.362,84447.7
1993,1993G097,First time,3,322,107.3333,35.52933,101,0,80,1,111.6884,105395.9339
1993,1993G098,First time,4,371,92.75,3.201562,102.25,0.204124,80,0,114.7114,91075.8625
1993,1993G099,First time,1,82,82,,96,,80,,99.5964,80519.9
1993,1993G100,First time,3,171,57,3.605551,97.33333,0.57735,80,0.763763,102.8209253,55971.15
1993,1993G101,First time,1,71,71,,96.4,,80,,100.56376,69718.45
1993,1993G102,First time,2,177,88.5,14.84924,97.25,0.353553,80,1.06066,102.6194,86902.575
1993,1993G103,First time,4,456,114,17.49286,97.5,1.080123,80,1.649916,103.224,111942.3
1993,1993G104,First time,1,105,105,,96,,80,,99.5964,103104.75
1993,1993G105,First time,3,303,101,12.12436,99.33333,1.154701,80,1.258306,107.6577253,99176.95
1993,1993G106,First time,1,131,131,,98,,80,,104.4332,128635.45
