author.name,paper.ID,species,red.list,published.year,title,year,locality,country,lat,lon,protected,mean.temp,egg.diameter,egg.volume,egg.mass,hatchling.length,hatchling.mass,clutch.size,clutch.mass,clutch.freq,pred.freq,tot.clutch,pred.clutch,length,mass,pred.mass,notes,og.author,og.title
Hirth,1,Caretta_caretta,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,1972,Buritaca Beach,Colombia,11.265447,-74.196538,,,43.3,42.50714579,38.4,45,,107,,3.5,2.993321932,374.5,374.5,87.9,,88.21494917,,Kaufmann (1975),"Studies on the Loggerhead Sea Turtle, Caretta caretta caretta (Linné) in Colombia, South America"
Hirth,1,Caretta_caretta,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Cape Kennedy,USA,28.704607,-80.656843,,,42.1,39.07010182,,45.2,,112,,,3.11853127,,349.2755023,92.2,,97.01052607,report,Ehrhart (1979),
Hirth,1,Caretta_caretta,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Masirah Island,Oman,7.677225,168.751102,,,42.1,39.07010182,,,,101,,,3.159116568,,319.0707733,93.6,,99.96391712,report,FAO,
Hirth,1,Caretta_caretta,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Tongaland,South Africa,-27.486956,32.705047,,,40.9,35.82351359,,44.7,21,114,,3.98,2.949441346,453.72,453.72,86.4,,85.24456017,report,Hughes (1974),
Hirth,1,Caretta_caretta,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Cape Romain,USA,33.007659,-79.358962,,,41.5,37.42334003,34.9,45,21.2,118.4,,,3.133035998,,370.9514621,92.7,,98.06025036,,Caldwall (1959) & Caldwall et al (1959)a,
Hirth,1,Caretta_caretta,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,1955,Hutchinson Island,USA,27.388392,-80.249236,,,,,,45.2,,120,,,3.063310804,,367.5972965,90.3,,93.07283654,,Worth & Smith (1976),"NATURAL HISTORY NOTES ON THE ATLANTIC LOGGERHEAD TURTLE, CARETTA CARETTA CARETTA"
Hirth,1,Chelonia_mydas,Endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,,Ascension Island,-7.91879,-14.41108,,,54.6,85.22680024,,51.7,,115.5,,,3.187410294,,368.145889,108.1,,133.6462939,,Carr et al (1974),"Internesting Behavior of the Green Turtle, Chelonia mydas, at a Mid-Ocean Island Breeding Ground"
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Heron Island,Australia,-23.44068,151.915651,,,46,50.96496737,51.6,56,21,110,,4.5,4.5,495,495,102.4,,116.7192738,report,Bustard (1972),
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Bonin Island,Japan,27.131176,142.12065,,,46,50.96496737,,,,103.8,,,,,,,,,report,Fukada (1965),
Hirth,1,Chelonia_mydas,Endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Naranjo reach,Costa Rica,10.774017,-85.664839,,,,,,51.2,,87,,,3.174661143,,276.1955194,82.9,,68.83019684,,Cornelius (1976),"Marine turtle nesting activity at Playa Naranjo, Costa Rica"
Hirth,1,Chelonia_mydas,Endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Tortuguero,Costa Rica,10.542133,-83.497994,,24,45.7,49.97431566,,49.7,,110,,2.8,2.8,308,308,100.1,,110.2752063,,Carr et al (1978),"The ecology and migrations of sea turtles. 7, The West Caribbean green turtle colony. Bulletin of the AMNH"
Hirth,1,Chelonia_mydas,Endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,1970,Galapagos,Ecuador,-0.762664,-90.334797,,,,,,46.2,,81,,,3.173727026,,,81.3,,65.55699666,,Pritchard (1971),Galapagos Sea Turtles:Preliminary Findings
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Shell beach,Guyana,8.269029,-59.520264,,,47,54.36154976,,,,120,,,3.185503581,,,103.9,,121.0407355,,Pritchard (1969),
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Pangumbahan,Indonesia,-7.330866,106.396023,,,45,47.71289813,,,,107,,,,,,,,,book,Suwelo (1971),
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Pulau Berhala,Indonesia,-0.862547,104.405938,,,,,,,,118,,,,,,,,,,NA,
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Sabah Island,Malaysia,6.060712,117.997116,,,,39.96547,40.3,49,22.1,,,,,,,,,,report,de Silva (1970),
Hirth,1,Chelonia_mydas,Endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Sarawak,Malaysia,1.789971,110.165511,,27,40,33.51029333,36,50,21.2,104.7,,4.1,4.1,429.27,429.27,97.5,120,120,,Hendrickson (1958),"The green sea turtle, Chelonia mydas (Linn.) in Malaya and Sarawak"
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Hawke's beach,Pakistan,24.85889,66.861511,,,52,73.62211445,,50,,108.5,,,,,,,,,,Minton 1966,
Hirth,1,Chelonia_mydas,Endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Aldabra Atoll,Seychelles,-9.451094,46.210776,,,46.3,51.96862527,,50.1,28.2,110,,,3.184046906,,350.2451597,100.8,,112.2132176,,Gibson (1979),Green turtle (Chelonia mydas (L.)) nesting activity at Aldabra Atoll
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Europa Island,South Africa,-22.358336,40.329946,,,44.7,46.76498775,47.9,50.9,26,147,,,3.18776519,,468.601483,108.9,,136.1326769,,NA,
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Tromelin Island,South Africa,-15.892353,54.523655,,,44.6,46.45183039,48,48.6,23.9,124.6,,,3.185596085,,396.9252722,104.1,,121.6240634,,NA,
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Sharma beach,South Yemen,28.035176,35.225215,,,42.3,39.62956978,44.8,46.9,23,106,,,3.181701982,,337.2604101,96,,99.32778887,,NA,
Hirth,1,Chelonia_mydas,Endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,,Surinam,5.86587,-56.199971,,27,45,47.71289813,,51,,138,,2.9,2.9,400.2,400.2,109,,136.4454098,surface temperature,Schulz 1975,Sea turtle nesting in Surinam
Hirth,1,Chelonia_mydas,Endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Ko Kram Island,Thailand,12.706225,100.772019,,,,,,,,100,,,3.178602823,,317.8602823,90,,84.52768186,,Penyapol (1958),A prelimary study of the sea turtles in the Gulf of Thailand
Hirth,1,Chelonia_mydas,Endangered,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,French Frigate Shoals,USA,23.748769,-166.146109,,27,44,44.60220043,50,53,31,104,,1.8,1.8,187.2,187.2,92.2,,89.78834938,,Balax (1979),
Hirth,1,Chelonia_mydas,Endangered,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Aves Island,Virgin Islands,15.668414,-63.617965,,,44.4,45.82971598,45.1,54.6,27,,,2.61,2.61,,,107.7,,132.4134019,,Rainey (1971),
Hirth,1,Dermochelys_coriacea,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,1954,Matina,Costa Rica,10.13616,-83.205441,,,53.6,80.62925083,,62.8,,80.5,,,,,,,,,,Carr & Orgen (1959),The ecology and migrations of sea turtles. 3 Dermochelys in Coasta Rica
Hirth,1,Dermochelys_coriacea,Vulnerable,oss,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Playa Naranjo,Costa Rica,10.778655,-85.667971,,,51,69.45584252,,55,,65.6,,,6.252701531,,410.1772204,141,,298.3037042,,Cornelius (1976),"Marine turtle nesting activity at Playa Naranjo, Costa Rica"
Hirth,1,Dermochelys_coriacea,Vulnerable,,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Silebache,French Guiana,5.022333,-52.460967,,,,,,65,,88.1,,,7.192708198,,633.6775922,157,,422.8519585,,Pritchard (1971)b,"The Leatherback Or Leathery Turtle, Dermochelys Coriacea"
Hirth,1,Dermochelys_coriacea,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Trengganu,Malaysia,5.814827,103.008233,,,,,,57.3,38.2,83.5,,5.5,5.5,459.25,459.25,,,,,Balasingham & Pong (1972),
Hirth,1,Dermochelys_coriacea,Vulnerable,1980,Some Aspects of the Nesting Behavior and Reproductive Biology of Sea Turtles,,Tongaland,South Africa,-27.480455,32.687649,,,53.1,78.39381843,,58.7,,103.7,,7.27,7.27,753.899,753.899,161.1,,459.7601422,,Hughes (1974),
