,name,all_protected_perc,mean_temp,CC_perc,CM_perc,DC_perc,EI_perc,LK_perc,LO_perc,ND_perc,CC_mass,CM_mass,DC_mass,EI_mass,LK_mass,LO_mass,ND_mass
1,Aruba,0,,0,0,0,0,NA,NA,NA,,,,,,,
2,Afghanistan,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
3,Angola,16.7,,NA,100,0,NA,NA,0,NA,,,,,,,
4,Anguilla,0,,NA,0,0,0,NA,NA,NA,,,,,,,
5,Albania,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
6,Aland,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
7,Andorra,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
8,United Arab Emirates,16.7,,NA,0,NA,16.67,NA,NA,NA,,,,,,,
9,Argentina,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
10,Armenia,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
11,American Samoa,33.3,,NA,33.33,NA,NA,NA,NA,NA,,,,,,,
12,Antarctica,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
13,Ashmore and Cartier Is.,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
14,Fr. S. Antarctic Lands,0,,NA,0,NA,0,NA,NA,NA,,,,,,,
15,Antigua and Barb.,29.4,29.5,NA,31.03,13.33,30.61,NA,NA,NA,,,,,,,
16,Australia,39.5,29.39091,56.25,59.72,40,21.43,NA,25,33.83,102.11664,121.38603,471.91282,58.59733,,37.3,72.06471
17,Austria,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
18,Azerbaijan,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
19,Burundi,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
20,Belgium,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
21,Benin,0,,NA,NA,0,NA,NA,0,NA,,,,,,,
22,Burkina Faso,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
23,Bangladesh,25,,0,12.5,0,0,NA,30.77,NA,,,,,,,
24,Bulgaria,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
25,Bahrain,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
26,Bahamas,0,,0,0,0,0,NA,NA,NA,,,,,,,
27,Bosnia and Herz.,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
28,St-Barthélemy,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
29,Belarus,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
30,Belize,58.3,,50,80,NA,58.62,NA,NA,NA,,,,,,,
31,Bermuda,0,,0,NA,NA,NA,NA,NA,NA,,,,,,,
32,Bolivia,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
33,Brazil,62.5,28.33333,50,60,100,66.67,NA,66.67,NA,106.02723,159.07476,,78.89435,,40.11277,
34,Barbados,0,,NA,0,0,0,NA,NA,NA,,,,64.67922,,,
35,Brunei,0,,NA,NA,NA,NA,NA,0,NA,,,,,,,
36,Bhutan,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
37,Botswana,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
38,Central African Rep.,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
39,Canada,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
40,Switzerland,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
41,Chile,NA,,NA,NA,NA,NA,NA,NA,NA,,,,,,,
42,China,0,,NA,0,NA,NA,NA,NA,NA,,,,,,,
43,Côte d'Ivoire,8.3,,NA,NA,0,0,NA,14.29,NA,,,,,,,
