,name,species,protected_perc,mean_temp,mean_mass,mass_sd,mass_n
16,Australia,Caretta_caretta,56.25,28.5,102.11664,3.6449012,2
33,Brazil,Caretta_caretta,50,28.5,106.02723,10.670967,2
48,Colombia,Caretta_caretta,46.97,27.7,88.21495,,1
50,Cape Verde,Caretta_caretta,0,,,,
51,Costa Rica,Caretta_caretta,100,,,,
52,Cuba,Caretta_caretta,63.16,,,,
53,Curaçao,Caretta_caretta,20,,,,
54,Cayman Is.,Caretta_caretta,15,,,,
56,Cyprus,Caretta_caretta,20,31.94,63.01478,2.1771937,5
62,Dominican Rep.,Caretta_caretta,50,,,,
65,Egypt,Caretta_caretta,0,,,,
67,Spain,Caretta_caretta,0,,,,
73,France,Caretta_caretta,50,,,,
85,Greece,Caretta_caretta,50,28.28571,73.4845,6.2024289,7
93,Honduras,Caretta_caretta,30,,,,
95,Haiti,Caretta_caretta,0,,,,
106,Israel,Caretta_caretta,0,,,,
107,Italy,Caretta_caretta,22.92,,,,
111,Japan,Caretta_caretta,51.11,25.13333,75.3869,6.8450685,12
123,Lebanon,Caretta_caretta,0,,,,
125,Libya,Caretta_caretta,0,,,,
126,Saint Lucia,Caretta_caretta,33.33,,,,
128,Sri Lanka,Caretta_caretta,20,29.1,,,
138,Madagascar,Caretta_caretta,50,,,,
140,Mexico,Caretta_caretta,56.06,26.6,,,
145,Myanmar,Caretta_caretta,0,,,,
149,Mozambique,Caretta_caretta,23.08,28,,,
150,Mauritania,Caretta_caretta,0,,,,
151,Montserrat,Caretta_caretta,0,,,,
156,New Caledonia,Caretta_caretta,50,,,,
167,Oman,Caretta_caretta,0,34,105.64163,8.0295008,2
169,Panama,Caretta_caretta,100,,,,
174,Papua New Guinea,Caretta_caretta,0,28,,,
195,Sierra Leone,Caretta_caretta,0,,,,
210,Syria,Caretta_caretta,0,,,,
211,Turks and Caicos Is.,Caretta_caretta,0,,,,
220,Tunisia,Caretta_caretta,0,31,77.38379,,1
221,Turkey,Caretta_caretta,0,30.16667,63.12357,6.1070762,3
222,Taiwan,Caretta_caretta,0,26,,,
227,United States,Caretta_caretta,34.62,29.48222,101.42847,9.8331519,17
231,Venezuela,Caretta_caretta,36,28,,,
233,U.S. Virgin Is.,Caretta_caretta,100,28.85,,,
235,Vanuatu,Caretta_caretta,0,,,,
238,Yemen,Caretta_caretta,100,30.5,,,
239,South Africa,Caretta_caretta,100,26.25,82.44495,3.9592411,2
244,Saint Vincent and the Grenadines,Caretta_caretta,0,,,,
1,Aruba,Chelonia_mydas,0,,,,
3,Angola,Chelonia_mydas,100,,,,
4,Anguilla,Chelonia_mydas,0,,,,
8,United Arab Emirates,Chelonia_mydas,0,,,,
11,American Samoa,Chelonia_mydas,33.33,,,,
14,Fr. S. Antarctic Lands,Chelonia_mydas,0,,,,
15,Antigua and Barb.,Chelonia_mydas,31.03,29.5,,,
16,Australia,Chelonia_mydas,59.72,28,121.38603,6.5997963,2
23,Bangladesh,Chelonia_mydas,12.5,,,,
26,Bahamas,Chelonia_mydas,0,,,,
30,Belize,Chelonia_mydas,80,,,,
33,Brazil,Chelonia_mydas,60,29,159.07476,,1
34,Barbados,Chelonia_mydas,0,,,,
42,China,Chelonia_mydas,0,,,,
46,Congo,Chelonia_mydas,0,,,,
47,Cook Is.,Chelonia_mydas,0,,,,
48,Colombia,Chelonia_mydas,33.33,29.23333,,,
49,Comoros,Chelonia_mydas,0,26,147.00837,,1
51,Costa Rica,Chelonia_mydas,33.33,28.64815,87.85813,25.0955395,6
52,Cuba,Chelonia_mydas,70.59,,,,
53,Curaçao,Chelonia_mydas,66.67,,,,
54,Cayman Is.,Chelonia_mydas,26.32,,,,
56,Cyprus,Chelonia_mydas,28.57,31.93333,86.18125,5.3319591,6
60,Dominica,Chelonia_mydas,0,,,,
62,Dominican Rep.,Chelonia_mydas,66.67,,,,
64,Ecuador,Chelonia_mydas,80,29,65.557,,1
65,Egypt,Chelonia_mydas,50,,,,
66,Eritrea,Chelonia_mydas,0,,,,
71,Fiji,Chelonia_mydas,0,,,,
75,Micronesia,Chelonia_mydas,0,28,,,
80,Ghana,Chelonia_mydas,0,,,,
82,Gambia,Chelonia_mydas,100,,,,
83,Guinea-Bissau,Chelonia_mydas,100,,,,
84,Eq. Guinea,Chelonia_mydas,88.89,,,,
86,Grenada,Chelonia_mydas,0,,,,
88,Guatemala,Chelonia_mydas,0,,,,
89,Guam,Chelonia_mydas,37.5,,,,
90,Guyana,Chelonia_mydas,0,27.7,121.04074,0,2
93,Honduras,Chelonia_mydas,16.67,27,,,
95,Haiti,Chelonia_mydas,0,,,,
97,Indonesia,Chelonia_mydas,83.33,27.45,,,
99,India,Chelonia_mydas,2.44,27.5,,,
103,Iran,Chelonia_mydas,0,31.75,116.52107,16.4488135,2
108,Jamaica,Chelonia_mydas,0,,,,
111,Japan,Chelonia_mydas,100,26.75,,,
114,Kenya,Chelonia_mydas,85.71,27.6,109.72521,,1
117,Kiribati,Chelonia_mydas,53.33,,,,
118,St. Kitts and Nevis,Chelonia_mydas,0,,,,
123,Lebanon,Chelonia_mydas,0,,,,
126,Saint Lucia,Chelonia_mydas,0,,,,
128,Sri Lanka,Chelonia_mydas,7.89,29.5,124.2699,,1
134,St-Martin,Chelonia_mydas,60,,,,
138,Madagascar,Chelonia_mydas,100,28.8,121.62406,,1
140,Mexico,Chelonia_mydas,41.28,29.26667,116.76829,33.3270667,5
141,Marshall Is.,Chelonia_mydas,0,,,,
145,Myanmar,Chelonia_mydas,25,,,,
148,N. Mariana Is.,Chelonia_mydas,6.25,30.9,116.15019,,1
149,Mozambique,Chelonia_mydas,50,28,127.24987,,1
150,Mauritania,Chelonia_mydas,100,,,,
151,Montserrat,Chelonia_mydas,0,,,,
154,Malaysia,Chelonia_mydas,60,29.125,108.42966,11.5750028,3
156,New Caledonia,Chelonia_mydas,66.67,,,,
160,Nicaragua,Chelonia_mydas,100,31,,,
167,Oman,Chelonia_mydas,50,32,97.22021,7.0391187,2
168,Pakistan,Chelonia_mydas,0,34,,,
169,Panama,Chelonia_mydas,50,,,,
170,Pitcairn Is.,Chelonia_mydas,100,,,,
171,Peru,Chelonia_mydas,0,,,,
172,Philippines,Chelonia_mydas,25,,,,
173,Palau,Chelonia_mydas,0,,,,
174,Papua New Guinea,Chelonia_mydas,12.5,28,,,
176,Puerto Rico,Chelonia_mydas,50,30.875,,,
181,Fr. Polynesia,Chelonia_mydas,0,,,,
187,Saudi Arabia,Chelonia_mydas,0,,,,
190,Senegal,Chelonia_mydas,100,,,,
193,Ascension Island,Chelonia_mydas,100,28,150.91944,16.9092555,2
194,Solomon Is.,Chelonia_mydas,12.5,30,89.69,,1
196,El Salvador,Chelonia_mydas,80,30,,,
202,São Tomé and Principe,Chelonia_mydas,0,,,,
203,Suriname,Chelonia_mydas,NA,29,136.44541,0,2
208,Sint Maarten,Chelonia_mydas,0,,,,
209,Seychelles,Chelonia_mydas,10.53,27.5,112.21322,,1
210,Syria,Chelonia_mydas,0,,,,
211,Turks and Caicos Is.,Chelonia_mydas,66.67,,,,
214,Thailand,Chelonia_mydas,66.67,29.25,94.95606,14.747953,2
218,Tonga,Chelonia_mydas,0,,,,
219,Trinidad and Tobago,Chelonia_mydas,20,30,,,
221,Turkey,Chelonia_mydas,16.67,30.16667,,,
222,Taiwan,Chelonia_mydas,0,26,121.04074,,1
223,Tanzania,Chelonia_mydas,75,31,148.97985,,1
227,United States,Chelonia_mydas,35.29,26.66667,102.18662,12.1968413,3
231,Venezuela,Chelonia_mydas,26.32,28,139.54736,10.0889459,2
232,British Virgin Is.,Chelonia_mydas,0,,,,
233,U.S. Virgin Is.,Chelonia_mydas,7.14,28.85,,,
234,Vietnam,Chelonia_mydas,33.33,,,,
235,Vanuatu,Chelonia_mydas,1.27,,,,
238,Yemen,Chelonia_mydas,0,31,99.32779,,1
239,South Africa,Chelonia_mydas,100,28.8,135.82059,0.4413581,2
242,Mayotte,Chelonia_mydas,100,27,142.14844,,1
244,Saint Vincent and the Grenadines,Chelonia_mydas,0,,,,
247,French Guiana,Chelonia_mydas,50,,,,
248,Guadeloupe,Chelonia_mydas,57.14,,,,
249,Martinique,Chelonia_mydas,66.67,,,,
1,Aruba,Dermochelys_coriacea,0,,,,
3,Angola,Dermochelys_coriacea,0,,,,
4,Anguilla,Dermochelys_coriacea,0,,,,
15,Antigua and Barb.,Dermochelys_coriacea,13.33,29.5,,,
16,Australia,Dermochelys_coriacea,40,31,471.91282,,1
21,Benin,Dermochelys_coriacea,0,,,,
23,Bangladesh,Dermochelys_coriacea,0,,,,
26,Bahamas,Dermochelys_coriacea,0,,,,
33,Brazil,Dermochelys_coriacea,100,28.33333,,,
34,Barbados,Dermochelys_coriacea,0,,,,
43,Côte d'Ivoire,Dermochelys_coriacea,0,,,,
44,Cameroon,Dermochelys_coriacea,100,28.8,364.66016,,1
46,Congo,Dermochelys_coriacea,0,,,,
48,Colombia,Dermochelys_coriacea,19.67,29,360.72917,,1
51,Costa Rica,Dermochelys_coriacea,56.25,29,340.5189,24.2179233,6
52,Cuba,Dermochelys_coriacea,0,,,,
53,Curaçao,Dermochelys_coriacea,0,,,,
60,Dominica,Dermochelys_coriacea,0,,,,
62,Dominican Rep.,Dermochelys_coriacea,60,,,,
64,Ecuador,Dermochelys_coriacea,0,29,,,
76,Gabon,Dermochelys_coriacea,60,,,,
80,Ghana,Dermochelys_coriacea,0,,,,
83,Guinea-Bissau,Dermochelys_coriacea,100,,,,
84,Eq. Guinea,Dermochelys_coriacea,100,,,,
86,Grenada,Dermochelys_coriacea,0,,,,
88,Guatemala,Dermochelys_coriacea,33.33,,,,
90,Guyana,Dermochelys_coriacea,0,28.5,415.92598,9.7948138,2
93,Honduras,Dermochelys_coriacea,50,27,,,
95,Haiti,Dermochelys_coriacea,0,,,,
97,Indonesia,Dermochelys_coriacea,37.5,27.45,,,
99,India,Dermochelys_coriacea,6.9,27.5,,,
108,Jamaica,Dermochelys_coriacea,0,,,,
118,St. Kitts and Nevis,Dermochelys_coriacea,0,,,,
126,Saint Lucia,Dermochelys_coriacea,0,,,,
128,Sri Lanka,Dermochelys_coriacea,10.34,29,359.07196,24.8320705,2
134,St-Martin,Dermochelys_coriacea,0,,,,
140,Mexico,Dermochelys_coriacea,11.11,28,364.66016,,1
149,Mozambique,Dermochelys_coriacea,37.5,28,,,
154,Malaysia,Dermochelys_coriacea,0,31,,,
160,Nicaragua,Dermochelys_coriacea,57.14,31,,,
169,Panama,Dermochelys_coriacea,36,,,,
174,Papua New Guinea,Dermochelys_coriacea,9.09,28,462.08018,NA,1
176,Puerto Rico,Dermochelys_coriacea,4.55,30.5,347.26693,9.9660331,3
194,Solomon Is.,Dermochelys_coriacea,20,29,,,
195,Sierra Leone,Dermochelys_coriacea,0,,,,
196,El Salvador,Dermochelys_coriacea,40,30,,,
202,São Tomé and Principe,Dermochelys_coriacea,0,,,,
203,Suriname,Dermochelys_coriacea,57.14,27,422.85196,NA,1
208,Sint Maarten,Dermochelys_coriacea,0,,,,
213,Togo,Dermochelys_coriacea,0,,,,
214,Thailand,Dermochelys_coriacea,0,29.25,,,
219,Trinidad and Tobago,Dermochelys_coriacea,12.5,30,380.68078,,1
227,United States,Dermochelys_coriacea,33.33,28.84952,,,
231,Venezuela,Dermochelys_coriacea,32.26,28,,,
232,British Virgin Is.,Dermochelys_coriacea,0,,,,
233,U.S. Virgin Is.,Dermochelys_coriacea,9.09,27.7,393.84289,NA,1
234,Vietnam,Dermochelys_coriacea,0,,,,
235,Vanuatu,Dermochelys_coriacea,0,,,,
239,South Africa,Dermochelys_coriacea,100,26.25,470.10769,14.6336477,2
244,Saint Vincent and the Grenadines,Dermochelys_coriacea,0,,,,
247,French Guiana,Dermochelys_coriacea,75,,,,
248,Guadeloupe,Dermochelys_coriacea,75.86,,,,
249,Martinique,Dermochelys_coriacea,17.65,,,,
1,Aruba,Eretmochelys_imbricata,0,,,,
4,Anguilla,Eretmochelys_imbricata,0,,,,
8,United Arab Emirates,Eretmochelys_imbricata,16.67,,,,
14,Fr. S. Antarctic Lands,Eretmochelys_imbricata,0,,,,
15,Antigua and Barb.,Eretmochelys_imbricata,30.61,29.5,,,
16,Australia,Eretmochelys_imbricata,21.43,29.12,56.93786,7.1529796,5
23,Bangladesh,Eretmochelys_imbricata,0,,,,
26,Bahamas,Eretmochelys_imbricata,0,,,,
30,Belize,Eretmochelys_imbricata,58.62,,,,
33,Brazil,Eretmochelys_imbricata,66.67,28,88.66368,16.9356852,3
34,Barbados,Eretmochelys_imbricata,0,30,64.67922,,1
